,term_begin_date,course_title,percentage_pass,total_count
37,2018-08-20,Adv Ophthalmology - Veterans Affairs,0.0,2
38,2018-08-20,Adv Percussion Pedagogy & Literature,100.0,2
39,2018-08-20,Adv Practicum in Couple & Family Therapy,100.0,2
40,2018-08-20,Adv Removable Prosthodontic Technique,100.0,2
41,2018-08-20,Adv Satellite Remote Sensing Atmosphere,100.0,3
42,2018-08-20,Adv Topics Prokaryotic Biology Module 4,100.0,5
43,2018-08-20,Adv Topics: Actuarial Sci/Financial Math,100.0,2
44,2018-08-20,Adv Woodwind Pedagogy and Literature I,100.0,9
45,2018-08-20,Adv Writers' Seminar: Literary Translatn,93.75,16
46,2018-08-20,Advance Fixed Prosthodontics Technique,100.0,2
47,2018-08-20,Advanced Acting,100.0,13
48,2018-08-20,Advanced Analytics,100.0,41
49,2018-08-20,Advanced Anatomy Laboratory,100.0,10
50,2018-08-20,Advanced Audiology,100.0,9
51,2018-08-20,Advanced Auditing,100.0,13
52,2018-08-20,Advanced Biostatistics Seminar,100.0,10
53,2018-08-20,Advanced Brass Pedagogy and Literature I,100.0,4
54,2018-08-20,Advanced Business Presentation Workshop,100.0,9
55,2018-08-20,Advanced Cardiac Sonography,100.0,4
56,2018-08-20,Advanced Cardiac Sonography Lab,100.0,4
57,2018-08-20,Advanced Cardiovascular Physiology,100.0,6
58,2018-08-20,Advanced Choral Conducting III,100.0,6
59,2018-08-20,Advanced Clay Forming III,100.0,13
60,2018-08-20,Advanced Clinical Endodontics,100.0,8
61,2018-08-20,Advanced Clinical Geriatric Dentistry II,100.0,2
62,2018-08-20,Advanced Clinical Orthopedics,0.0,4
63,2018-08-20,Advanced Clinical Pediatric Dentistry,100.0,10
64,2018-08-20,Advanced Clinical Periodontics,100.0,5
65,2018-08-20,Advanced Clinical Prosthodontics,100.0,6
66,2018-08-20,Advanced Clinical Radiology,0.0,12
67,2018-08-20,Advanced Clinical Trials,100.0,5
68,2018-08-20,Advanced Composition,100.0,12
69,2018-08-20,Advanced Corporate Finance,100.0,40
70,2018-08-20,Advanced Creative Writing: Special Topic,95.3125,64
71,2018-08-20,Advanced Dental Therapeutics,88.88888888888889,18
72,2018-08-20,Advanced Didactic Pediatric Dentistry,100.0,10
73,2018-08-20,Advanced Fiction Writing,87.5,8
74,2018-08-20,Advanced Film Theory,100.0,9
75,2018-08-20,Advanced General Surgery,0.0,5
76,2018-08-20,Advanced Group Leadership Experience,100.0,8
77,2018-08-20,Advanced Hearing Science,100.0,6
78,2018-08-20,Advanced Inference I,100.0,5
79,2018-08-20,Advanced Inorganic Chemistry,100.0,24
80,2018-08-20,Advanced Inpatient Neurology,0.0,1
81,2018-08-20,Advanced Instrument Technique,100.0,2
82,2018-08-20,Advanced Italian,100.0,8
83,2018-08-20,Advanced Jazz Improvisation,100.0,5
84,2018-08-20,Advanced Metabolic Exercise Testing & Rx,100.0,1
85,2018-08-20,Advanced Modern Standard Arabic I,100.0,13
86,2018-08-20,Advanced Multiculturalism,100.0,13
87,2018-08-20,Advanced Nonfiction Writing,100.0,16
88,2018-08-20,Advanced Oral Pathology,100.0,2
89,2018-08-20,Advanced Orchestral Conducting,100.0,4
90,2018-08-20,Advanced Organic Chemistry,100.0,23
91,2018-08-20,Advanced Orthodontic Technique,100.0,5
92,2018-08-20,Advanced Otolaryngology,0.0,1
93,2018-08-20,Advanced Outpatient Neurology,0.0,2
94,2018-08-20,Advanced Painting,100.0,9
95,2018-08-20,Advanced Photography,100.0,11
96,2018-08-20,Advanced Practice Role I: Introduction,99.33333333333333,150
97,2018-08-20,Advanced Practicum in Counseling,100.0,4
98,2018-08-20,Advanced Practicum in School Psychology,100.0,2
99,2018-08-20,Advanced Practicum in Student Affairs,100.0,8
100,2018-08-20,Advanced Preceptorship Family Medicine,0.0,3
101,2018-08-20,Advanced Principles Anesthesia Prac I,100.0,11
102,2018-08-20,Advanced Printmaking,100.0,12
103,2018-08-20,Advanced Research Practicum,100.0,7
104,2018-08-20,Advanced Sonography,100.0,12
105,2018-08-20,Advanced Sonography Lab,100.0,12
106,2018-08-20,Advanced Spanish Grammar,85.71428571428571,7
107,2018-08-20,Advanced Strategic Communication,93.75,16
108,2018-08-20,Advanced String Methods and Literature I,100.0,8
109,2018-08-20,Advanced Swahili,100.0,6
110,2018-08-20,Advanced Tax Topics,100.0,125
111,2018-08-20,Advanced Tonal Theory and Analysis,83.33333333333334,6
112,2018-08-20,Advanced Topics in Communication Studies,90.9090909090909,11
113,2018-08-20,Advanced Topics in Corporate Law,100.0,4
114,2018-08-20,Advanced Topics in GSND I,100.0,2
115,2018-08-20,Advanced Topics in Health Services,100.0,107
116,2018-08-20,Advanced Topics in Immunology,100.0,7
117,2018-08-20,Advanced Topics in International Law,100.0,8
118,2018-08-20,Advanced Topics in Occupational Medicine,100.0,2
119,2018-08-20,Advanced Topics in Quality Assurance,100.0,81
120,2018-08-20,Advanced Toxicology,100.0,13
121,2018-08-20,Advanced Translation Practice,100.0,1
122,2018-08-20,Advanced Wind Conducting,100.0,6
123,2018-08-20,Advanced Writers' Seminar: Fiction,100.0,18
124,2018-08-20,Advanced Writers' Seminar: Nonfiction,100.0,18
125,2018-08-20,Advanced Writers' Seminar: Poetry,100.0,17
126,2018-08-20,Aerosol Technology,100.0,6
127,2018-08-20,African Americans and the Media,100.0,25
128,2018-08-20,Age of Dinosaurs,89.78494623655914,186
129,2018-08-20,Aging Matters: Intro to Gerontology,95.65217391304348,69
130,2018-08-20,Agriculture and the Environment,100.0,9
131,2018-08-20,Air Force Leadership Studies I,100.0,9
132,2018-08-20,"Air, Actuators and Motors",100.0,12
133,2018-08-20,Alcohol and Your College Experience,86.0,50
134,2018-08-20,Algorithms,93.54838709677419,155
135,2018-08-20,All University Steel Band,100.0,14
136,2018-08-20,All-University String Orchestra,97.43589743589743,39
137,2018-08-20,Ambulatory Care Pharmacy,100.0,46
138,2018-08-20,Ambulatory Care Rotation,0.0,11
139,2018-08-20,American Constitutional Law and Politics,65.71428571428571,35
140,2018-08-20,American Cultures,100.0,4
141,2018-08-20,American Drama Since 1900,100.0,26
142,2018-08-20,American History to 1877,96.96969696969697,165
143,2018-08-20,American Indian Environmentalism,100.0,19
144,2018-08-20,American Music,100.0,13
145,2018-08-20,American Political Humor,95.83333333333334,24
146,2018-08-20,American Pop Music: Rock 'n Roll to 1980,86.95652173913044,23
147,2018-08-20,American Public Policy,94.91525423728814,59
148,2018-08-20,American Religious Histories,100.0,8
149,2018-08-20,American Sign Language Conversation,100.0,21
150,2018-08-20,American Sign Language I,97.9381443298969,97
151,2018-08-20,American Sign Language II,94.54545454545455,55
152,2018-08-20,American Sign Language III,97.72727272727273,88
153,2018-08-20,American Sign Language IV,97.61904761904762,42
154,2018-08-20,American Sign Language Literature,100.0,13
155,2018-08-20,American Sport to 1900,100.0,25
156,2018-08-20,Analysis I,100.0,12
157,2018-08-20,Analysis of Activity Based Plasticity,100.0,2
158,2018-08-20,Analytic Issues in Health Svc Research I,100.0,12
159,2018-08-20,Analytic Methods I,100.0,20
160,2018-08-20,Analytical Chemistry I,96.875,64
161,2018-08-20,Analyzing Data for Business Intelligence,97.24770642201835,109
162,2018-08-20,Anatomy for Human Physiology,78.57142857142857,28
163,2018-08-20,Anatomy for Human Physiology with Lab,89.85507246376811,69
164,2018-08-20,Ancient Medicine,89.58333333333334,192
165,2018-08-20,Ancient Philosophy,94.28571428571428,35
166,2018-08-20,Animal Behavior,77.41935483870968,31
167,2018-08-20,Anthropology & Contemporary World Problm,96.37462235649546,331
168,2018-08-20,Application of Critical Thinking,100.0,88
169,2018-08-20,Applications of Pharmacy Practice I,100.0,112
170,2018-08-20,Applications of Pharmacy Practice III,100.0,106
171,2018-08-20,Applied Administrative Data Analysis,100.0,6
172,2018-08-20,Applied Categorical Data Analysis,100.0,18
173,2018-08-20,Applied Dental Pharmacology,97.72727272727273,88
174,2018-08-20,Applied Digital and Social Media,95.0,20
175,2018-08-20,Applied Econometrics,100.0,5
176,2018-08-20,Applied Epidemiology,100.0,42
177,2018-08-20,Applied Equity Valuation,100.0,47
178,2018-08-20,Applied Exercise Physiology,92.3076923076923,39
179,2018-08-20,Applied Linear Regression,96.96969696969697,66
180,2018-08-20,Applied Microcounseling,100.0,5
181,2018-08-20,Applied Optimization,100.0,34
182,2018-08-20,Applied Public Health Methods,100.0,37
183,2018-08-20,Applied Sec Analysis - Henry Fund II,100.0,8
184,2018-08-20,Applied Statistics I,100.0,9
185,2018-08-20,Applied Statistics for Social Scientists,92.5925925925926,27
186,2018-08-20,Approaches to Media Communication,100.0,5
187,2018-08-20,Approaches to Teaching Writing,95.65217391304348,23
188,2018-08-20,Archaic Greece,100.0,8
189,2018-08-20,Archaic Greek Literature,100.0,1
190,2018-08-20,Archaic and Classical Periods I,100.0,4
191,2018-08-20,Archives and Media,100.0,16
192,2018-08-20,Art Education Studio & Field Components,90.0,10
193,2018-08-20,Art History Colloquium,100.0,12
194,2018-08-20,Art and Craft of Environmental Writing,100.0,17
195,2018-08-20,Art and Craft of Writing about Politics,94.11764705882352,17
196,2018-08-20,Art and Craft of Writing for New Media,100.0,16
197,2018-08-20,Art of Central Africa,100.0,9
198,2018-08-20,Articulatory and Acoustic Phonetics,96.7741935483871,31
199,2018-08-20,Artif Organ & Circul Implants Design,100.0,39
200,2018-08-20,Artists' Books,90.0,10
201,2018-08-20,Arts and Culture Reporting and Writing,100.0,20
202,2018-08-20,Arts of Africa,86.08695652173914,230
203,2018-08-20,Asian Art and Culture,96.84210526315789,95
204,2018-08-20,Asian Humanities: China,94.87179487179486,39
205,2018-08-20,Asian Humanities: Japan,100.0,37
206,2018-08-20,Assessment/Evaluation in Therapeutic Rec,92.7536231884058,69
207,2018-08-20,Assmnt Instructional Planning & Practice,100.0,47
208,2018-08-20,Athletic Transition Seminar,100.0,91
209,2018-08-20,Audio Recording I,100.0,19
210,2018-08-20,Auditing,93.42105263157895,76
211,2018-08-20,Audition Repertoire,100.0,8
212,2018-08-20,Auditory Evoked Potentials,100.0,15
213,2018-08-20,Augmentative & Alternative Communication,100.0,16
214,2018-08-20,Autism Spectrum Disorders,100.0,13
215,2018-08-20,Autopsy Pathology Clerkship,0.0,3
216,2018-08-20,BFA Senior Project in Dance,100.0,1
217,2018-08-20,Baccalaureate Seminar,100.0,51
218,2018-08-20,Badminton,0.0,4
219,2018-08-20,Ballet Pointe I,100.0,11
220,2018-08-20,Bankruptcy,100.0,12
221,2018-08-20,Barking/Talking: What Is Communication?,88.88888888888889,9
222,2018-08-20,Baroque Seminar for Strings,100.0,2
223,2018-08-20,Basic Abstract Algebra,100.0,1
224,2018-08-20,Basic Acoustics for Speech and Hearing,92.70833333333334,96
225,2018-08-20,Basic Acting,94.87179487179486,195
226,2018-08-20,Basic Acting for Language Learners,100.0,14
227,2018-08-20,Basic Algebra I,77.77777777777779,36
228,2018-08-20,Basic Analysis,100.0,2
229,2018-08-20,Basic Analytical Techniques,100.0,8
230,2018-08-20,Basic Biostatistics & Experimental Dsgn,100.0,34
231,2018-08-20,Basic CPR,0.0,1
232,2018-08-20,Basic Drawing,97.98657718120806,149
233,2018-08-20,Basic Federal Income Taxation,100.0,32
234,2018-08-20,Basic First Aid,0.0,2
235,2018-08-20,Basic Neuroscience for Speech & Hearing,98.33333333333333,60
236,2018-08-20,Basic Oral and Maxillofacial Surgery,98.71794871794873,78
237,2018-08-20,Basic Physics,85.18518518518519,81
238,2018-08-20,Basic Physics Lab,100.0,3
239,2018-08-20,Basics Personal Training & Program Dsgn,94.11764705882352,34
240,2018-08-20,Bayesian Statistics,95.65217391304348,46
241,2018-08-20,Beginning Ballet,95.0,80
242,2018-08-20,Beginning Chinese I,96.29629629629629,27
243,2018-08-20,Beginning Chinese II,100.0,3
244,2018-08-20,Beginning Chinese III,100.0,7
245,2018-08-20,Beginning Composition & Conversation I,88.88888888888889,9
246,2018-08-20,Beginning Digital Photography,95.1219512195122,41
247,2018-08-20,Beginning Jazz,100.0,135
248,2018-08-20,Beginning Modern Dance,100.0,64
249,2018-08-20,Beginning Tap,100.0,32
250,2018-08-20,Behavior Modification,100.0,38
251,2018-08-20,Behavioral & Clinical Health Assessment,92.5,40
252,2018-08-20,"Behavioral Science I, IPE and Ethics",100.0,80
253,2018-08-20,Behavioral Science II & IPE,100.0,77
254,2018-08-20,Behavioral Science III,100.0,88
255,2018-08-20,Being Responsible Online,60.0,15
256,2018-08-20,Big Data Analytics,100.0,42
257,2018-08-20,Big Data Management and Analytics,100.0,19
258,2018-08-20,Big Ideas: Creativity for a Lifetime,96.15384615384616,78
259,2018-08-20,"Big Ideas: Equality, Oppor, & Policy",94.73684210526315,57
260,2018-08-20,"Big Ideas: Information, Society, Culture",93.65079365079364,63
261,2018-08-20,Biobehavioral Assessment & Intervention,100.0,1
262,2018-08-20,Biochemistry,91.27906976744185,172
263,2018-08-20,Biochemistry and Molecular Biology I,90.0,110
264,2018-08-20,Biochemistry and Molecular Biology II,89.47368421052632,19
265,2018-08-20,Biochemistry for Dental Students,98.75,80
266,2018-08-20,Biogeography,95.08196721311475,61
267,2018-08-20,Bioimaging and Bioinformatics,93.33333333333333,60
268,2018-08-20,Bioinformatics,90.9090909090909,22
269,2018-08-20,Bioinformatics Techniques,100.0,16
270,2018-08-20,Biology of Aging,96.0,25
271,2018-08-20,Biomaterials and Biomechanics,98.36065573770492,61
272,2018-08-20,Biomaterials and Implant Design,97.87234042553192,47
273,2018-08-20,Biomechanics Sport & Physical Activity,96.42857142857143,56
274,2018-08-20,Biomedical Engineering Senior Design I,99.15966386554622,119
275,2018-08-20,Biomedical Instrumentation & Measurement,100.0,4
276,2018-08-20,Biophysical Chemistry I,93.93939393939394,33
277,2018-08-20,Biostatistical Computing,100.0,41
278,2018-08-20,Biostatistical Methods I,100.0,20
279,2018-08-20,Biostatistics,87.24279835390946,243
280,2018-08-20,Black Culture and Experience,91.80327868852459,61
281,2018-08-20,Black Television Culture,97.05882352941177,34
282,2018-08-20,Black and White Darkroom,100.0,9
283,2018-08-20,"Book Art Sem: History, Practice, Crit",100.0,10
284,2018-08-20,Book Design for Publishing,100.0,16
285,2018-08-20,Book and Publication Design,100.0,8
286,2018-08-20,Bookbinding I: Materials and Techniques,100.0,20
287,2018-08-20,Boxes and Enclosures,100.0,8
288,2018-08-20,Brazilian Culture and Carnival,100.0,28
289,2018-08-20,Brazilian Literature After 1900,80.0,5
290,2018-08-20,British Poetry,91.66666666666666,24
291,2018-08-20,Bucksbaum Academy Second-Year Seminar,100.0,6
292,2018-08-20,Bureaucratic Politics & Public Administr,88.88888888888889,9
293,2018-08-20,Business Acumen and Career Development,100.0,38
294,2018-08-20,Business Analytics,97.50623441396509,802
295,2018-08-20,Business Analytics Capstone,100.0,30
296,2018-08-20,Business Analytics in Practice,100.0,11
297,2018-08-20,Business Associations,100.0,64
298,2018-08-20,Business Communication,100.0,53
299,2018-08-20,Business Communication Intern I,100.0,7
300,2018-08-20,Business Communication and Protocol,98.79227053140096,414
301,2018-08-20,Business Computing Essentials,95.72953736654804,562
302,2018-08-20,Business Integration,100.0,138
303,2018-08-20,Business Law,94.64285714285714,56
304,2018-08-20,Business Process Analysis,100.0,119
305,2018-08-20,Business Programming,100.0,21
306,2018-08-20,Business Spanish,100.0,11
307,2018-08-20,Business Writing,100.0,20
308,2018-08-20,Business and Professional Communication,100.0,35
309,2018-08-20,CBH Thesis/Dissertation,100.0,1
310,2018-08-20,CIMBA Italy Experiential Leadership,100.0,40
311,2018-08-20,COSMOS Seminar,100.0,11
312,2018-08-20,CT Clinical Internship II,100.0,6
313,2018-08-20,CT Physical Principles and QC,100.0,20
314,2018-08-20,CT Procedures I,100.0,16
315,2018-08-20,CVI Neuro & Nonvascular Proced & Path,100.0,6
316,2018-08-20,CVI Peripheral Procedures & Pathology,100.0,5
317,2018-08-20,CW for Non-Native English Speakers,94.73684210526315,19
318,2018-08-20,Calculus I,78.70036101083032,277
319,2018-08-20,Calculus II,74.43609022556392,133
320,2018-08-20,Calculus III,80.73394495412845,109
321,2018-08-20,Calculus and Matrix Algebra for Business,88.26923076923077,520
322,2018-08-20,Calculus for the Biological Sciences,78.73417721518987,395
323,2018-08-20,Calligraphy I: Blackletter Hands,100.0,11
324,2018-08-20,Calligraphy I: Foundational Hands,100.0,13
325,2018-08-20,Camerata Singers,100.0,49
326,2018-08-20,Capstone Course in Sociology,0.0,1
327,2018-08-20,Capstone Project,100.0,11
328,2018-08-20,"Capstone: Tchng, Ldrshp, & Cultural Comp",80.0,5
329,2018-08-20,Cardiac Physiology and Hemodynamics,100.0,6
330,2018-08-20,Cardiac Sonography I,100.0,6
331,2018-08-20,Cardiac Sonography I Lab,100.0,6
332,2018-08-20,Cardiovascular Fluid Mechanics,96.42857142857143,28
333,2018-08-20,Cardiovascular Physiology,93.75,32
334,2018-08-20,Care of the Patient in Pain,100.0,24
335,2018-08-20,Career & Life Design for Biology Majors,100.0,11
336,2018-08-20,Career Leadership Academy Part 1,96.2566844919786,187
337,2018-08-20,Career Leadership Academy Part 2,97.72727272727273,88
338,2018-08-20,Cariology and Preventive Therapies,100.0,80
339,2018-08-20,Case Management Seminar,100.0,5
340,2018-08-20,Cell Biology,94.44444444444444,54
341,2018-08-20,Cell Biology Laboratory,100.0,19
342,2018-08-20,Cell Biology for Engineers,96.15384615384616,52
343,2018-08-20,Center for New Music Ensemble,100.0,11
344,2018-08-20,Ceramics Workshop,100.0,12
345,2018-08-20,Chamber Music Residency Program,100.0,51
346,2018-08-20,Chamber Orchestra,100.0,28
347,2018-08-20,Characteristics of Disabilities,100.0,26
348,2018-08-20,Chemical Engineering Process Design I,100.0,49
349,2018-08-20,Chemical Process Safety,98.07692307692307,52
350,2018-08-20,Chemistry in Industry and the Economy,88.23529411764706,34
351,2018-08-20,Chemometrics,100.0,9
352,2018-08-20,Child & Adolescent Intervention Research,100.0,3
353,2018-08-20,Child Abuse and Neglect,0.0,1
354,2018-08-20,Child Abuse: Assessmnt Intervntn Advocy,100.0,38
355,2018-08-20,Child Development,97.36842105263158,38
356,2018-08-20,Child Life Practical Application,88.0,25
357,2018-08-20,Child Life: Child Dev & Hlthcare Intvns,100.0,10
358,2018-08-20,"Child Psychiatry, Pappajohn Pavilion",0.0,3
359,2018-08-20,Child Welfare Policy and Practice,96.15384615384616,26
360,2018-08-20,Childhood Psychopathology,100.0,63
361,2018-08-20,Chinese History from 1600 to 1911,100.0,15
362,2018-08-20,Chinese Politics and Society,100.0,11
363,2018-08-20,Chinese Popular Culture,92.6829268292683,41
364,2018-08-20,Choral Methods,91.66666666666666,12
365,2018-08-20,Choreography I,100.0,20
366,2018-08-20,Choreography III,100.0,7
367,2018-08-20,Cities in American Culture,91.66666666666666,12
368,2018-08-20,Citizenship in a Multicultural Society,91.66666666666666,48
369,2018-08-20,City of Literature,100.0,26
370,2018-08-20,Civil Engineering Tools,98.0392156862745,51
371,2018-08-20,Civilizations of Asia: China,96.45390070921985,141
372,2018-08-20,Civilizations of Asia: Japan,94.87179487179486,78
373,2018-08-20,Class Strings,100.0,11
374,2018-08-20,Classical Electrodynamics I,100.0,4
375,2018-08-20,Classical Mechanics,100.0,19
376,2018-08-20,Classical Mythology,87.77173913043478,368
377,2018-08-20,Classical and New Testament Greek I,90.9090909090909,11
378,2018-08-20,Cleft Palate and Related Disorders,100.0,13
379,2018-08-20,Climageddon: Climate Change and Health,93.33333333333333,30
380,2018-08-20,Clin Cardiology Coronary Exp Meth Hosp,0.0,1
381,2018-08-20,Clinical Allergy Immunology,0.0,1
382,2018-08-20,Clinical Anesthesia,0.0,21
383,2018-08-20,Clinical Anesthesia Senior,0.0,6
384,2018-08-20,Clinical App of Ped Conscious Sedation,100.0,10
385,2018-08-20,Clinical Cardiology,0.0,6
386,2018-08-20,Clinical Competencies Comprehensive Care,98.76543209876543,81
387,2018-08-20,Clinical Dermatology,0.0,22
388,2018-08-20,Clinical Dietetics,100.0,12
389,2018-08-20,Clinical Endocrinology,0.0,3
390,2018-08-20,Clinical Endodontic Practice,97.82608695652173,46
391,2018-08-20,Clinical Endodontic Seminar,100.0,44
392,2018-08-20,Clinical Experience I,100.0,5
393,2018-08-20,Clinical Experience IV,100.0,5
394,2018-08-20,Clinical Experiences: Comprehensive Care,100.0,81
395,2018-08-20,Clinical Gastroenterology,0.0,1
396,2018-08-20,Clinical Infectious Disease,0.0,5
397,2018-08-20,Clinical Issues & Treatment Plan Pros,100.0,6
398,2018-08-20,Clinical Law Program-Internship,100.0,38
399,2018-08-20,Clinical Microbiology,0.0,2
400,2018-08-20,Clinical Neurology,0.0,35
401,2018-08-20,Clinical Nurse Leader Seminar,100.0,4
402,2018-08-20,Clinical Obstetrics and Gynecology,0.0,23
403,2018-08-20,Clinical Ophthalmology,0.0,30
404,2018-08-20,Clinical Oral & Maxillofacial Radiology,100.0,4
405,2018-08-20,Clinical Oral Diagnosis,97.61904761904762,42
406,2018-08-20,Clinical Oral Pathology,100.0,42
407,2018-08-20,Clinical Oral Radiology,100.0,42
408,2018-08-20,Clinical Oral and Maxillofacial Surgery,100.0,44
409,2018-08-20,Clinical Orthopedics,0.0,30
410,2018-08-20,Clinical Otolaryngology,0.0,18
411,2018-08-20,Clinical Pediatric Dentistry,100.0,44
412,2018-08-20,Clinical Pediatrics,0.0,45
413,2018-08-20,Clinical Pharm Sciences Research,100.0,1
414,2018-08-20,Clinical Preventive Dentistry,100.0,77
415,2018-08-20,Clinical Psychiatry,0.0,49
416,2018-08-20,Clinical Radiology,0.0,40
417,2018-08-20,Clinical Rheumatology,0.0,3
418,2018-08-20,Clinical Sciences III,100.0,15
419,2018-08-20,Clinical Sciences V: Rehabilitation,100.0,15
420,2018-08-20,Clinical Seminar in Pediatric Dentistry,100.0,44
421,2018-08-20,Clinical Simulation Laboratory I,97.10144927536231,69
422,2018-08-20,Clinical Simulation Laboratory II,100.0,72
423,2018-08-20,Clinical Surgery,0.0,42
424,2018-08-20,Clinical Teaching,85.71428571428571,7
425,2018-08-20,Clinical Urology,0.0,26
426,2018-08-20,"Clrkshp in Family Medicine, Cedar Rapids",0.0,1
427,2018-08-20,Cncpts/IssuesTherap Rec: Prof Advancemt,93.75,64
428,2018-08-20,"Coaching Theory, Body Struc & Human Dev",100.0,59
429,2018-08-20,Coaching for Health and Wellness,97.82608695652173,46
430,2018-08-20,Cognitive Theories of Learning,100.0,5
431,2018-08-20,Coll of Public Health Direct Admit Sem,0.0,1
432,2018-08-20,Collaborative Performance,100.0,5
433,2018-08-20,Collection Care and Management,95.65217391304348,23
434,2018-08-20,College Algebra,86.73469387755102,490
435,2018-08-20,College Physics I,97.56944444444444,288
436,2018-08-20,College Physics II,90.9090909090909,121
437,2018-08-20,College Student Lrng Cog & Moral Dev,100.0,17
438,2018-08-20,College Students & Their Environments,100.0,8
439,2018-08-20,College Teachng Clinic Suprvsn Mus Thrpy,100.0,1
440,2018-08-20,Colloquium: Teaching Rhetoric,100.0,1
441,2018-08-20,Colonial Spanish American Literature,100.0,16
442,2018-08-20,Commercial Banking,100.0,62
443,2018-08-20,Communicating Research,100.0,12
444,2018-08-20,Communicating Science,100.0,9
445,2018-08-20,Communication Networks,96.20253164556962,79
446,2018-08-20,Communication Skills for Leadership,95.58823529411765,68
447,2018-08-20,Communication and Digital Strategy,100.0,20
448,2018-08-20,Communication and Organizational Culture,91.80327868852459,61
449,2018-08-20,Communications and PR in Sports,93.90243902439023,82
450,2018-08-20,Communities and Crime,100.0,9
451,2018-08-20,Community Clinical Rotation,0.0,12
452,2018-08-20,Community Engagement,100.0,10
453,2018-08-20,Community Media,100.0,18
454,2018-08-20,Community Pediatric Outpatient Elective,0.0,1
455,2018-08-20,Community and Public Health Nursing,99.13793103448276,116
456,2018-08-20,Community-Based Participatory Research,100.0,7
457,2018-08-20,Comparative Criminal Justice Systems,97.2972972972973,37
458,2018-08-20,Comparative Environmental Policy,93.18181818181817,44
459,2018-08-20,Complex Organizations,88.88888888888889,9
460,2018-08-20,Complex Variables,88.23529411764706,17
461,2018-08-20,Composition,100.0,1
462,2018-08-20,Composition Seminar,100.0,4
463,2018-08-20,Composition and Conversation I,100.0,18
464,2018-08-20,Composition: Electronic Media I,100.0,5
465,2018-08-20,Computational Biochemistry,100.0,10
466,2018-08-20,Computational Fluid & Thermal Engng,100.0,15
467,2018-08-20,Computer Modeling with 3ds Max,100.0,11
468,2018-08-20,Computer Organization,94.0677966101695,118
469,2018-08-20,Computer Science I: Fundamentals,94.47513812154696,181
470,2018-08-20,Computer Science II: Data Structures,83.08823529411765,136
471,2018-08-20,Computers in Engineering,80.32786885245902,122
472,2018-08-20,Computing Foundations,100.0,30
473,2018-08-20,Computing in Statistics,100.0,19
474,2018-08-20,Conceptions of Talent Development,80.0,15
475,2018-08-20,Concepts in Drawing,95.0,20
476,2018-08-20,Concepts: Materials and Installation,100.0,14
477,2018-08-20,Consequences of War,84.61538461538461,13
478,2018-08-20,Conservation Paleobiology,88.88888888888889,9
479,2018-08-20,Constitutional Law II,100.0,87
480,2018-08-20,Consultation Psychiatry,0.0,2
481,2018-08-20,Consumer Behavior,100.0,130
482,2018-08-20,Contemp Topics in Industrial Engineering,100.0,36
483,2018-08-20,Contemporary Cinema,89.32038834951457,103
484,2018-08-20,Contemporary Environmental Issues,91.36490250696379,359
485,2018-08-20,Contemporary Issues in Global Health,90.9090909090909,22
486,2018-08-20,Contemporary Issues in Sports,91.04477611940298,201
