,term_begin_date,course_subject,total_enrollment
107,2018-08-20,JMC,3308
108,2018-08-20,JPNS,389
109,2018-08-20,KORE,156
110,2018-08-20,LAS,31
111,2018-08-20,LATH,17
112,2018-08-20,LATS,52
113,2018-08-20,LAW,2228
114,2018-08-20,LING,554
115,2018-08-20,LLS,1301
116,2018-08-20,LS,607
117,2018-08-20,MATH,9346
118,2018-08-20,MBA,1707
119,2018-08-20,ME,1332
120,2018-08-20,MED,1687
121,2018-08-20,MGMT,3550
122,2018-08-20,MICR,534
123,2018-08-20,MILS,143
124,2018-08-20,MKTG,2345
125,2018-08-20,MMED,91
126,2018-08-20,MPB,92
127,2018-08-20,MSCI,5894
128,2018-08-20,MSTP,17
129,2018-08-20,MTLS,78
130,2018-08-20,MUS,4002
131,2018-08-20,MUSM,127
132,2018-08-20,NAIS,68
133,2018-08-20,NEUR,85
134,2018-08-20,NSCI,119
135,2018-08-20,NSG,3
136,2018-08-20,NURS,2975
137,2018-08-20,OBG,90
138,2018-08-20,OEH,190
139,2018-08-20,OMFS,138
140,2018-08-20,OPER,324
141,2018-08-20,OPHT,63
142,2018-08-20,OPRM,598
143,2018-08-20,ORDN,158
144,2018-08-20,ORSC,88
145,2018-08-20,ORTH,95
146,2018-08-20,OSTC,2
147,2018-08-20,OTO,41
148,2018-08-20,OTP,1
149,2018-08-20,PA,139
150,2018-08-20,PATH,331
151,2018-08-20,PCD,894
152,2018-08-20,PCOL,97
153,2018-08-20,PEDO,161
154,2018-08-20,PEDS,131
155,2018-08-20,PERF,35
156,2018-08-20,PERI,275
157,2018-08-20,PHAR,3540
158,2018-08-20,PHIL,3746
159,2018-08-20,PHTO,81
160,2018-08-20,PHYS,3490
161,2018-08-20,PNTG,97
162,2018-08-20,POLI,3732
163,2018-08-20,PORT,64
164,2018-08-20,PRNT,110
165,2018-08-20,PROS,599
166,2018-08-20,PSQF,1295
167,2018-08-20,PSY,6473
168,2018-08-20,PSYC,115
169,2018-08-20,PTRS,799
170,2018-08-20,RAD,98
171,2018-08-20,RADO,9
172,2018-08-20,RCE,1598
173,2018-08-20,REA,311
174,2018-08-20,RELS,1162
175,2018-08-20,RHET,3212
176,2018-08-20,RSCI,32
177,2018-08-20,RSCT,45
178,2018-08-20,RSMR,22
179,2018-08-20,RSMS,127
180,2018-08-20,RSNM,17
181,2018-08-20,RSP,209
182,2018-08-20,RSRT,78
183,2018-08-20,RSTH,45
184,2018-08-20,RUSS,439
185,2018-08-20,SCLP,79
186,2018-08-20,SIED,55
187,2018-08-20,SJUS,31
188,2018-08-20,SLA,11
189,2018-08-20,SLIS,194
190,2018-08-20,SOAS,1
191,2018-08-20,SOC,2999
192,2018-08-20,SPAN,2237
193,2018-08-20,SPST,621
194,2018-08-20,SRM,2511
195,2018-08-20,SSW,1553
196,2018-08-20,STAT,3966
197,2018-08-20,SURG,85
198,2018-08-20,SWAH,192
199,2018-08-20,TAPE,112
200,2018-08-20,TBM,22
201,2018-08-20,TDSN,131
202,2018-08-20,THTR,1296
203,2018-08-20,TOX,47
204,2018-08-20,TR,716
205,2018-08-20,TRNS,87
206,2018-08-20,UICB,187
207,2018-08-20,ULIB,37
208,2018-08-20,URES,216
209,2018-08-20,URO,47
210,2018-08-20,URP,234
211,2018-08-20,WLLC,49
212,2018-08-20,WRIT,320
213,2019-01-14,ABRD,297
214,2019-01-14,ACB,329
215,2019-01-14,ACCT,1958
216,2019-01-14,ACTS,187
217,2019-01-14,AERO,99
218,2019-01-14,AFAM,191
219,2019-01-14,AMCS,17
220,2019-01-14,AMST,601
221,2019-01-14,ANES,152
222,2019-01-14,ANIM,31
223,2019-01-14,ANTH,2542
224,2019-01-14,ARAB,63
225,2019-01-14,ARTH,1443
226,2019-01-14,ARTS,887
227,2019-01-14,ASIA,24
228,2019-01-14,ASL,370
229,2019-01-14,ASP,226
230,2019-01-14,ASTR,872
231,2019-01-14,ATEP,41
232,2019-01-14,BBC,5
233,2019-01-14,BIOC,765
234,2019-01-14,BIOL,4294
235,2019-01-14,BIOS,480
236,2019-01-14,BME,1451
237,2019-01-14,BMED,147
238,2019-01-14,BMS,1
239,2019-01-14,BUS,824
240,2019-01-14,CBE,839
241,2019-01-14,CBH,79
242,2019-01-14,CBIO,20
243,2019-01-14,CCCC,85
244,2019-01-14,CCP,1227
245,2019-01-14,CEE,1259
246,2019-01-14,CERM,146
247,2019-01-14,CHEM,8635
248,2019-01-14,CHIN,328
249,2019-01-14,CINE,1592
250,2019-01-14,CL,130
251,2019-01-14,CLAS,66
252,2019-01-14,CLSA,1868
253,2019-01-14,CLSG,28
254,2019-01-14,CLSL,152
255,2019-01-14,CNW,275
256,2019-01-14,COMM,3185
257,2019-01-14,CPH,1435
258,2019-01-14,CRIM,1141
259,2019-01-14,CS,3125
260,2019-01-14,CSD,1468
261,2019-01-14,CSI,622
262,2019-01-14,CTS,3
263,2019-01-14,CW,1271
264,2019-01-14,DANC,1667
265,2019-01-14,DENT,84
266,2019-01-14,DERM,65
267,2019-01-14,DPA,29
268,2019-01-14,DPH,41
269,2019-01-14,DRAW,41
270,2019-01-14,DSGN,151
271,2019-01-14,DST,123
272,2019-01-14,EALL,52
273,2019-01-14,ECE,1421
274,2019-01-14,ECON,3945
275,2019-01-14,EDTL,3357
276,2019-01-14,EES,2218
277,2019-01-14,EHOP,12
278,2019-01-14,EM,142
279,2019-01-14,EMTP,15
280,2019-01-14,ENDO,297
281,2019-01-14,ENGL,3912
282,2019-01-14,ENGR,2982
283,2019-01-14,ENTR,2527
284,2019-01-14,ENVS,173
285,2019-01-14,EPID,282
286,2019-01-14,EPLS,780
287,2019-01-14,ESL,750
288,2019-01-14,EVNT,266
289,2019-01-14,FAM,140
290,2019-01-14,FIN,3171
291,2019-01-14,FPC,47
292,2019-01-14,FREN,1055
293,2019-01-14,FRRB,22
294,2019-01-14,GENE,55
295,2019-01-14,GEOG,1860
296,2019-01-14,GHS,389
297,2019-01-14,GRAD,1593
298,2019-01-14,GRMN,424
299,2019-01-14,GSND,12
300,2019-01-14,GWSS,505
301,2019-01-14,HHP,4909
302,2019-01-14,HIST,2627
303,2019-01-14,HMP,538
304,2019-01-14,HONR,157
305,2019-01-14,HPAS,2402
306,2019-01-14,HRTS,75
307,2019-01-14,IBA,20
308,2019-01-14,IE,645
309,2019-01-14,IGPI,35
310,2019-01-14,IIEP,338
311,2019-01-14,IM,487
312,2019-01-14,IMMU,56
313,2019-01-14,INTD,61
314,2019-01-14,INTM,65
315,2019-01-14,IS,396
316,2019-01-14,ITAL,367
317,2019-01-14,IYWS,72
318,2019-01-14,JMC,2904
319,2019-01-14,JPNS,287
320,2019-01-14,KORE,112
321,2019-01-14,LAS,30
322,2019-01-14,LATH,15
323,2019-01-14,LATS,60
324,2019-01-14,LAW,2164
325,2019-01-14,LING,406
326,2019-01-14,LLS,2013
327,2019-01-14,LS,1135
328,2019-01-14,LWAB,3
329,2019-01-14,MATH,5776
330,2019-01-14,MBA,1557
331,2019-01-14,ME,1240
332,2019-01-14,MED,1318
333,2019-01-14,MGMT,3357
334,2019-01-14,MICR,930
335,2019-01-14,MILS,133
336,2019-01-14,MKTG,2501
337,2019-01-14,MMED,140
338,2019-01-14,MPB,43
339,2019-01-14,MSCI,6176
340,2019-01-14,MSTP,24
341,2019-01-14,MTLS,78
342,2019-01-14,MUS,3665
343,2019-01-14,MUSM,137
344,2019-01-14,NAIS,4
345,2019-01-14,NEUR,116
346,2019-01-14,NSCI,88
347,2019-01-14,NSG,3
348,2019-01-14,NURS,3232
349,2019-01-14,OBG,118
350,2019-01-14,OEH,186
351,2019-01-14,OMFS,291
352,2019-01-14,OPER,85
353,2019-01-14,OPHT,93
354,2019-01-14,OPRM,285
355,2019-01-14,ORDN,241
356,2019-01-14,ORSC,95
357,2019-01-14,ORTH,135
358,2019-01-14,OTO,76
359,2019-01-14,OTP,1
360,2019-01-14,PA,198
361,2019-01-14,PATH,67
362,2019-01-14,PCD,385
363,2019-01-14,PCOL,116
364,2019-01-14,PEDO,230
365,2019-01-14,PEDS,208
366,2019-01-14,PERF,40
367,2019-01-14,PERI,113
368,2019-01-14,PHAR,2945
369,2019-01-14,PHIL,2700
370,2019-01-14,PHTO,85
371,2019-01-14,PHYS,3769
372,2019-01-14,PNTG,103
373,2019-01-14,POLI,3282
374,2019-01-14,PORT,58
375,2019-01-14,PRNT,121
376,2019-01-14,PROS,748
377,2019-01-14,PSQF,1110
378,2019-01-14,PSY,6323
379,2019-01-14,PSYC,229
380,2019-01-14,PTRS,680
381,2019-01-14,RAD,150
382,2019-01-14,RADO,10
383,2019-01-14,RCE,1609
384,2019-01-14,REA,385
385,2019-01-14,RELS,903
386,2019-01-14,RHET,2239
387,2019-01-14,RSCI,40
388,2019-01-14,RSCT,63
389,2019-01-14,RSMR,27
390,2019-01-14,RSMS,154
391,2019-01-14,RSNM,23
392,2019-01-14,RSP,117
393,2019-01-14,RSRT,106
394,2019-01-14,RSTH,43
395,2019-01-14,RUSS,235
396,2019-01-14,SCLP,82
397,2019-01-14,SIED,42
398,2019-01-14,SJUS,88
399,2019-01-14,SLA,13
400,2019-01-14,SLIS,178
401,2019-01-14,SOAS,2
402,2019-01-14,SOC,2490
403,2019-01-14,SPAN,1949
404,2019-01-14,SPST,561
405,2019-01-14,SRM,2305
406,2019-01-14,SSW,1477
407,2019-01-14,STAT,4009
408,2019-01-14,SURG,130
409,2019-01-14,SWAH,181
410,2019-01-14,TAPE,49
411,2019-01-14,TBM,25
412,2019-01-14,TDSN,122
413,2019-01-14,THTR,1527
414,2019-01-14,TOX,51
415,2019-01-14,TR,694
416,2019-01-14,TRNS,100
417,2019-01-14,UICB,172
418,2019-01-14,ULIB,41
419,2019-01-14,URES,249
420,2019-01-14,URO,87
421,2019-01-14,URP,252
422,2019-01-14,WRIT,349
423,2019-08-26,ABRD,111
424,2019-08-26,ACB,475
425,2019-08-26,ACCT,2244
426,2019-08-26,ACTS,205
427,2019-08-26,AERO,124
428,2019-08-26,AFAM,279
429,2019-08-26,AMCS,9
430,2019-08-26,AMST,436
431,2019-08-26,ANES,80
432,2019-08-26,ANIM,32
433,2019-08-26,ANTH,2336
434,2019-08-26,ARAB,79
435,2019-08-26,ARTH,1276
436,2019-08-26,ARTS,953
437,2019-08-26,ASIA,13
438,2019-08-26,ASL,400
439,2019-08-26,ASP,280
440,2019-08-26,ASTR,1086
441,2019-08-26,AT,8
442,2019-08-26,ATEP,30
443,2019-08-26,BBC,10
444,2019-08-26,BIOC,674
445,2019-08-26,BIOL,4071
446,2019-08-26,BIOS,509
447,2019-08-26,BME,1204
448,2019-08-26,BMED,172
449,2019-08-26,BUS,1242
450,2019-08-26,CBE,854
451,2019-08-26,CBH,88
452,2019-08-26,CBIO,24
453,2019-08-26,CCCC,62
454,2019-08-26,CCP,1249
455,2019-08-26,CEE,965
456,2019-08-26,CERM,139
457,2019-08-26,CHEM,10709
458,2019-08-26,CHIN,311
459,2019-08-26,CINE,1808
460,2019-08-26,CL,196
461,2019-08-26,CLAS,67
462,2019-08-26,CLSA,1803
463,2019-08-26,CLSG,43
464,2019-08-26,CLSL,134
465,2019-08-26,CNW,351
466,2019-08-26,COMM,3710
467,2019-08-26,CPH,1830
468,2019-08-26,CRIM,1350
469,2019-08-26,CS,3055
470,2019-08-26,CSD,1307
471,2019-08-26,CSI,2225
472,2019-08-26,CTS,1
473,2019-08-26,CW,1532
474,2019-08-26,DANC,1649
475,2019-08-26,DENT,211
476,2019-08-26,DERM,48
477,2019-08-26,DIET,16
478,2019-08-26,DPA,87
479,2019-08-26,DPH,38
480,2019-08-26,DRAW,65
481,2019-08-26,DSGN,152
482,2019-08-26,DST,129
483,2019-08-26,EALL,62
484,2019-08-26,ECE,1385
485,2019-08-26,ECON,3316
486,2019-08-26,EDTL,3228
487,2019-08-26,EES,2688
488,2019-08-26,EHOP,3
489,2019-08-26,EM,56
490,2019-08-26,EMTP,21
491,2019-08-26,ENDO,127
492,2019-08-26,ENGL,3510
493,2019-08-26,ENGR,4306
494,2019-08-26,ENTR,2161
495,2019-08-26,ENVS,79
496,2019-08-26,EPID,302
497,2019-08-26,EPLS,759
498,2019-08-26,ESL,775
499,2019-08-26,EVNT,205
500,2019-08-26,FAM,107
501,2019-08-26,FAMD,436
502,2019-08-26,FIN,2737
503,2019-08-26,FREN,741
504,2019-08-26,FRRB,34
505,2019-08-26,GENE,48
506,2019-08-26,GEOG,1748
507,2019-08-26,GHS,608
508,2019-08-26,GRAD,1623
509,2019-08-26,GRMN,615
510,2019-08-26,GSND,6
511,2019-08-26,GWSS,971
512,2019-08-26,HHP,4409
513,2019-08-26,HIST,2484
514,2019-08-26,HMP,499
515,2019-08-26,HONR,1182
516,2019-08-26,HPAS,1976
517,2019-08-26,HRTS,88
518,2019-08-26,IALL,2
519,2019-08-26,IBA,39
520,2019-08-26,IGPI,12
521,2019-08-26,IIEP,339
522,2019-08-26,IM,320
523,2019-08-26,IMMU,73
524,2019-08-26,INTD,1
525,2019-08-26,INTM,33
526,2019-08-26,IS,319
527,2019-08-26,ISE,461
528,2019-08-26,ITAL,329
529,2019-08-26,IWP,51
530,2019-08-26,JMC,3012
531,2019-08-26,JPNS,341
532,2019-08-26,KORE,145
533,2019-08-26,LAS,41
534,2019-08-26,LATH,13
535,2019-08-26,LATS,53
536,2019-08-26,LAW,2299
537,2019-08-26,LING,559
538,2019-08-26,LLS,1323
539,2019-08-26,LS,693
540,2019-08-26,LWAB,1
541,2019-08-26,MATH,9102
542,2019-08-26,MBA,1553
543,2019-08-26,ME,1563
544,2019-08-26,MED,1690
545,2019-08-26,MGMT,3076
546,2019-08-26,MICR,528
547,2019-08-26,MILS,136
548,2019-08-26,MKTG,2283
549,2019-08-26,MMED,126
550,2019-08-26,MPB,97
551,2019-08-26,MSCI,6226
552,2019-08-26,MSTP,16
553,2019-08-26,MTLS,59
554,2019-08-26,MUS,4047
555,2019-08-26,MUSM,117
556,2019-08-26,NAIS,61
557,2019-08-26,NEUR,79
558,2019-08-26,NSCI,122
559,2019-08-26,NSG,2
560,2019-08-26,NURS,2937
561,2019-08-26,OBG,98
562,2019-08-26,OEH,184
563,2019-08-26,OMFS,139
564,2019-08-26,OPER,329
565,2019-08-26,OPHT,59
566,2019-08-26,OPRM,481
567,2019-08-26,ORDN,177
568,2019-08-26,ORSC,118
569,2019-08-26,ORTH,73
570,2019-08-26,OTO,41
571,2019-08-26,OTP,3
572,2019-08-26,PA,147
573,2019-08-26,PATH,437
574,2019-08-26,PCD,975
575,2019-08-26,PCOL,140
576,2019-08-26,PEDO,111
577,2019-08-26,PEDS,144
578,2019-08-26,PERF,31
579,2019-08-26,PERI,283
580,2019-08-26,PHAR,3521
581,2019-08-26,PHIL,3378
582,2019-08-26,PHTO,88
583,2019-08-26,PHYS,3268
584,2019-08-26,PNTG,61
585,2019-08-26,POLI,4081
586,2019-08-26,PORT,55
587,2019-08-26,PRNT,120
588,2019-08-26,PROS,601
589,2019-08-26,PSQF,1249
590,2019-08-26,PSY,6957
591,2019-08-26,PSYC,122
592,2019-08-26,PTRS,817
593,2019-08-26,RAD,91
594,2019-08-26,RADO,1
595,2019-08-26,RCE,1706
596,2019-08-26,REA,327
597,2019-08-26,RELS,994
598,2019-08-26,RHET,3304
599,2019-08-26,RSCI,18
600,2019-08-26,RSCT,38
601,2019-08-26,RSMR,19
602,2019-08-26,RSMS,128
603,2019-08-26,RSNM,27
604,2019-08-26,RSP,211
605,2019-08-26,RSRT,79
606,2019-08-26,RSTH,38
607,2019-08-26,RUSS,401
608,2019-08-26,SCLP,65
609,2019-08-26,SIED,47
610,2019-08-26,SJUS,51
611,2019-08-26,SLA,13
612,2019-08-26,SLIS,183
613,2019-08-26,SOAS,6
614,2019-08-26,SOC,3007
615,2019-08-26,SPAN,2071
616,2019-08-26,SPST,617
617,2019-08-26,SRM,2583
618,2019-08-26,SSW,1549
619,2019-08-26,STAT,3572
620,2019-08-26,SURG,99
621,2019-08-26,SWAH,261
622,2019-08-26,TAPE,100
623,2019-08-26,TBM,10
624,2019-08-26,TDSN,118
625,2019-08-26,THTR,1259
626,2019-08-26,TOX,54
627,2019-08-26,TR,650
628,2019-08-26,TRNS,110
629,2019-08-26,UICB,196
630,2019-08-26,ULIB,15
631,2019-08-26,URES,263
632,2019-08-26,URO,40
633,2019-08-26,URP,246
634,2019-08-26,WLLC,36
635,2019-08-26,WRIT,337
636,2020-01-21,ABRD,288
637,2020-01-21,ACB,392
638,2020-01-21,ACCT,1749
639,2020-01-21,ACTS,229
640,2020-01-21,AERO,103
641,2020-01-21,AFAM,240
642,2020-01-21,AMCS,28
643,2020-01-21,AMST,631
644,2020-01-21,ANES,177
645,2020-01-21,ANIM,33
646,2020-01-21,ANTH,2321
647,2020-01-21,ARAB,96
648,2020-01-21,ARTH,1195
649,2020-01-21,ARTS,1012
650,2020-01-21,ASIA,3
651,2020-01-21,ASL,367
652,2020-01-21,ASP,203
653,2020-01-21,ASTR,704
654,2020-01-21,AT,14
655,2020-01-21,ATEP,15
656,2020-01-21,BBC,9
657,2020-01-21,BIOC,739
658,2020-01-21,BIOL,3973
659,2020-01-21,BIOS,513
660,2020-01-21,BME,1403
661,2020-01-21,BMED,103
662,2020-01-21,BUS,789
663,2020-01-21,CBE,861
664,2020-01-21,CBH,134
665,2020-01-21,CBIO,31
666,2020-01-21,CCCC,85
667,2020-01-21,CCP,2079
668,2020-01-21,CEE,1148
669,2020-01-21,CERM,151
670,2020-01-21,CHEM,8627
671,2020-01-21,CHIN,315
672,2020-01-21,CINE,1509
673,2020-01-21,CL,10
674,2020-01-21,CLAS,73
675,2020-01-21,CLSA,2052
676,2020-01-21,CLSG,29
677,2020-01-21,CLSL,117
678,2020-01-21,CNW,306
679,2020-01-21,COMM,3314
680,2020-01-21,CPH,1765
681,2020-01-21,CRIM,1189
682,2020-01-21,CS,2831
683,2020-01-21,CSD,1447
684,2020-01-21,CSI,927
685,2020-01-21,CTS,5
686,2020-01-21,CW,1249
687,2020-01-21,DANC,1729
688,2020-01-21,DENT,129
689,2020-01-21,DERM,96
690,2020-01-21,DIET,8
691,2020-01-21,DPH,29
692,2020-01-21,DRAW,57
693,2020-01-21,DSGN,187
694,2020-01-21,DST,74
695,2020-01-21,EALL,54
696,2020-01-21,ECE,1395
697,2020-01-21,ECON,3579
698,2020-01-21,EDTL,3267
699,2020-01-21,EES,2452
700,2020-01-21,EHOP,9
701,2020-01-21,EM,155
702,2020-01-21,EMTP,26
703,2020-01-21,ENDO,299
704,2020-01-21,ENGL,3703
705,2020-01-21,ENGR,2377
706,2020-01-21,ENTR,2414
707,2020-01-21,ENVS,172
708,2020-01-21,EPID,285
709,2020-01-21,EPLS,709
710,2020-01-21,ESL,448
711,2020-01-21,EVNT,238
712,2020-01-21,FAM,190
713,2020-01-21,FIN,2829
714,2020-01-21,FREN,633
715,2020-01-21,FRRB,37
716,2020-01-21,GENE,75
717,2020-01-21,GEOG,1764
718,2020-01-21,GHS,580
719,2020-01-21,GRAD,1662
720,2020-01-21,GRMN,415
721,2020-01-21,GSND,6
722,2020-01-21,GWSS,345
723,2020-01-21,HHP,4521
724,2020-01-21,HIST,2621
725,2020-01-21,HMP,556
726,2020-01-21,HONR,267
727,2020-01-21,HPAS,2302
728,2020-01-21,HRTS,51
729,2020-01-21,IALL,1
730,2020-01-21,IBA,73
731,2020-01-21,IGPI,14
732,2020-01-21,IIEP,227
733,2020-01-21,IM,658
734,2020-01-21,IMMU,56
735,2020-01-21,INTD,1
736,2020-01-21,INTM,44
737,2020-01-21,IS,323
738,2020-01-21,ISE,682
739,2020-01-21,ITAL,372
740,2020-01-21,IYWS,68
741,2020-01-21,JMC,2727
742,2020-01-21,JPNS,255
743,2020-01-21,KORE,119
744,2020-01-21,LAS,37
745,2020-01-21,LATH,13
746,2020-01-21,LATS,48
747,2020-01-21,LAW,2351
748,2020-01-21,LING,438
749,2020-01-21,LLS,1486
750,2020-01-21,LS,1035
751,2020-01-21,LWAB,2
752,2020-01-21,MATH,5495
753,2020-01-21,MBA,1379
754,2020-01-21,ME,1262
755,2020-01-21,MED,1429
756,2020-01-21,MGMT,3283
757,2020-01-21,MICR,1002
758,2020-01-21,MILS,119
759,2020-01-21,MKTG,2417
760,2020-01-21,MMED,137
761,2020-01-21,MPB,47
762,2020-01-21,MSCI,5729
763,2020-01-21,MSTP,63
764,2020-01-21,MTLS,80
765,2020-01-21,MUS,3483
766,2020-01-21,MUSM,157
767,2020-01-21,NAIS,1
768,2020-01-21,NEUR,140
769,2020-01-21,NSCI,100
770,2020-01-21,NSG,4
771,2020-01-21,NURS,3232
772,2020-01-21,OBG,156
773,2020-01-21,OEH,244
774,2020-01-21,OMFS,286
775,2020-01-21,OPER,79
776,2020-01-21,OPHT,129
777,2020-01-21,OPRM,286
778,2020-01-21,ORDN,240
779,2020-01-21,ORSC,73
780,2020-01-21,ORTH,185
781,2020-01-21,OTO,83
782,2020-01-21,OTP,3
783,2020-01-21,PA,221
784,2020-01-21,PATH,59
785,2020-01-21,PCD,559
786,2020-01-21,PCOL,191
787,2020-01-21,PEDO,182
788,2020-01-21,PEDS,212
789,2020-01-21,PERF,35
790,2020-01-21,PERI,129
791,2020-01-21,PHAR,3192
792,2020-01-21,PHIL,2571
793,2020-01-21,PHTO,95
794,2020-01-21,PHYS,3524
795,2020-01-21,PNTG,79
796,2020-01-21,POLI,3389
797,2020-01-21,PORT,54
798,2020-01-21,PRNT,131
799,2020-01-21,PROS,772
800,2020-01-21,PSQF,1058
801,2020-01-21,PSY,6617
802,2020-01-21,PSYC,259
803,2020-01-21,PTRS,686
804,2020-01-21,RAD,191
805,2020-01-21,RADO,14
806,2020-01-21,RCE,1789
807,2020-01-21,REA,386
808,2020-01-21,RELS,769
809,2020-01-21,RHET,2268
810,2020-01-21,RSCI,35
811,2020-01-21,RSCT,67
812,2020-01-21,RSMR,26
813,2020-01-21,RSMS,146
814,2020-01-21,RSNM,33
815,2020-01-21,RSP,89
816,2020-01-21,RSRT,103
817,2020-01-21,RSTH,37
818,2020-01-21,RUSS,261
819,2020-01-21,SCLP,55
820,2020-01-21,SIED,20
821,2020-01-21,SJUS,90
822,2020-01-21,SLA,5
823,2020-01-21,SLIS,189
824,2020-01-21,SOAS,3
825,2020-01-21,SOC,2280
826,2020-01-21,SPAN,1863
827,2020-01-21,SPST,690
828,2020-01-21,SRM,2509
829,2020-01-21,SSW,1501
830,2020-01-21,STAT,3805
831,2020-01-21,SURG,194
832,2020-01-21,SWAH,224
833,2020-01-21,TAPE,52
834,2020-01-21,TBM,13
835,2020-01-21,TDSN,104
836,2020-01-21,THTR,1443
837,2020-01-21,TOX,55
838,2020-01-21,TR,595
839,2020-01-21,TRNS,137
840,2020-01-21,UICB,159
841,2020-01-21,ULIB,13
842,2020-01-21,URES,267
843,2020-01-21,URO,120
844,2020-01-21,URP,250
845,2020-01-21,WLLC,39
846,2020-01-21,WRIT,302
847,2020-08-24,ACB,476
848,2020-08-24,ACCT,2361
849,2020-08-24,ACTS,126
850,2020-08-24,AERO,141
851,2020-08-24,AFAM,564
852,2020-08-24,AMCS,11
853,2020-08-24,AMST,527
854,2020-08-24,ANES,82
855,2020-08-24,ANTH,2139
856,2020-08-24,ARAB,85
857,2020-08-24,ARTH,1126
858,2020-08-24,ARTS,825
859,2020-08-24,ASIA,16
860,2020-08-24,ASL,378
861,2020-08-24,ASP,228
862,2020-08-24,ASTR,825
863,2020-08-24,AT,32
864,2020-08-24,BAIS,6610
865,2020-08-24,BBC,11
866,2020-08-24,BIOC,648
867,2020-08-24,BIOL,4366
868,2020-08-24,BIOS,465
869,2020-08-24,BME,1013
870,2020-08-24,BMED,213
871,2020-08-24,BUS,1248
872,2020-08-24,CBE,937
873,2020-08-24,CBH,125
874,2020-08-24,CBIO,58
875,2020-08-24,CCCC,61
876,2020-08-24,CCP,1320
877,2020-08-24,CEE,856
878,2020-08-24,CERM,130
879,2020-08-24,CHEM,10788
880,2020-08-24,CHIN,177
881,2020-08-24,CINE,1629
882,2020-08-24,CL,24
883,2020-08-24,CLAS,14
884,2020-08-24,CLSA,1927
885,2020-08-24,CLSG,44
886,2020-08-24,CLSL,123
887,2020-08-24,CNW,339
888,2020-08-24,COMM,3401
889,2020-08-24,CPH,2188
890,2020-08-24,CRIM,1257
891,2020-08-24,CS,2885
